funder,tax_year,schedule,recipient,recipient_ein,city,state,amount,amount_noncash,noncash_desc,purpose,source
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,CAMP TAWONGA,94-3227261,SAN FRANCISCO,CA,9300,0,,CAMPERSHIPS,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,CONGREGATION NER ARYEH,81-3930468,VALLEY VILLAGE,CA,9215,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,IKAR,20-1210098,LOS ANGELES,CA,8750,0,,GRANT EXPENSE STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,B'NAI SIMCHA JEWISH COMMUNITY PRESCHOOL,95-3643872,PASADENA,CA,8000,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,BURBANK TEMPLE EMANU EL,95-1696705,BURBANK,CA,8000,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,GAN CHABAD PRESCHOOL,95-4035000,LOS ANGELES,CA,8000,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,PALISADES JEWISH EARLY CHILDHOOD CENTER CHABAD INC,77-0600595,PACIFIC PALSADES,CA,8000,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,VALLEY JEWISH COMMUNITY CENTER,71-0874686,GRANADA HILLS,CA,8000,0,,GRANT EXPENSE STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,BETH SHIR SHALOM,95-1551433,SANTA MONICA,CA,7500,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,THAT MERCH GIRL LLC,83-1035145,REDONDO BEACH,CA,6393,0,,PROGRAM SUPPLIES/BOOKS,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,CONGREGATION BETH SHALOM,95-3127094,SANTA CLARITA,CA,6000,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,ISRAELI AMERICAN COUNCIL,22-3951652,WOODLAND HILLS,CA,6000,0,,GRANT EXPENSE,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,SEPHARDIC TEMPLE TIFERETH ISRAEL,95-1866096,LOS ANGELES,CA,6000,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,TEMPLE MENORAH,95-6006575,REDONDO BEACH,CA,6000,0,,STUDENT FINANCIAL AID,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
Jewish Federation Council Of Greater Los Angeles,2024,990-SchI,NEW JERSEY FEDERATION OF YMHAS & YWHAS CAMPS,22-1487266,FAIRFIELD,NJ,5800,0,,CAMPERSHIPS,https://projects.propublica.org/nonprofits/full_text/202512609349300101/IRS990ScheduleI
