funder,tax_year,schedule,recipient,recipient_ein,city,state,amount,amount_noncash,noncash_desc,purpose,source
Petco Love,2025,990-SchI,OPERATION CATNIP OF GAINESVILLE INC,59-3522372,GAINESVILLE,FL,48000,33701,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,FIXNATION,83-0452460,LOS ANGELES,CA,48000,18725,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,ANDERSON HUMANE,36-6164626,SOUTH ELGIN,IL,47500,326,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,SEVIER COUNTY ANIMAL SHELTER,83-0857151,SEVIERVILLE,TN,47000,3435,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,MARICOPA COUNTY ANIMAL CARE AND CONTROL,86-6000472,PHOENIX,AZ,46850,114,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,RESCUE RANCH,42-1598987,MCRAE HELENA,GA,46000,21941,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,WINGS OF RESCUE,45-3343408,SAN DIEGO,CA,46000,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,IT'S MEOW OR NEVER INC,26-1298437,TALLAHASSEE,FL,45500,42638,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,KOKOMO HUMANE SOCIETY,35-0989705,KOKOMO,IN,45400,6078,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,SIMI VALLEY NONPROFIT SPAY & NEUTER CLINIC,77-0568506,SIMI VALLEY,CA,44950,12607,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,NEW BEGINNINGS FOR MERCED COUNTY ANIMALS,36-4704902,WINTON,CA,44225,2005,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,OCONEE HUMANE SOCIETY,46-0485454,SENECA,SC,43586,10850,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,KENTUCKY HUMANE SOCIETY,61-0463938,LOUISVILLE,KY,43500,9508,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,CAT ADOPTION TEAM,20-0773189,SHERWOOD,OR,43500,78,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,BIG BEND TNR INC,87-3221122,TALLAHASSEE,FL,43413,30283,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,ANICIRA VETERINARY CENTER,20-8358468,HARRISONBURG,VA,43305,37914,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,CAROL HOUSE QUICK FIX CLINIC,90-0595857,ST LOUIS,MO,43000,35091,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,TEN LIVES CLUB,16-1611221,BLASDELL,NY,43000,20,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,HALL COUNTY ANIMAL SHELTER,58-6000836,GAINESVILLE,GA,41500,36,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,ASTORIA ANIMAL SOCIETY,82-1945952,ASTORIA,NY,40500,55841,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,ROSWELL ANIMAL SERVICES,85-6000165,ROSWELL,NM,40000,1499,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,SAN ANTONION PETS ALIVE,45-4141531,SAN ANTONIO,TX,40000,1013,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,CUMBERLAND COUNTY ANIMAL SERVICES,56-6000291,FAYETTEVILLE,NC,40000,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,OKTIBBEHA COUNTY HUMANE SOCIETY,64-0618170,STARKVILLE,MS,40000,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,VALLEY RIVER HUMANE SOCIETY,58-1320604,MARBLE,NC,40000,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,WORKING DOGS FOR VETS,47-2426504,LAWRENCEBURG,TN,40000,0,N/A,GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,ESPANOLA HUMANE,85-0406234,ESPANOLA,NM,39125,13360,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,PAAC - PEOPLE ASSISTING ANIMAL CONTROL,38-3817365,CORPUS CHRISTI,TX,39000,28590,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,SPAY NEUTER IMPERATIVE PROJECT CALIFORNIA,46-1587546,PEBBLE BEACH,CA,39000,17153,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,HUMANE SOCIETY OF UTAH,87-0256350,MURRAY,UT,38200,10770,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
Petco Love,2025,990-SchI,HARBOR HUMANE SOCIETY,38-1623660,WEST OLIVE,MI,38000,49,"VACCINES, PRODUCTS",GENERAL SUPPORT,https://projects.propublica.org/nonprofits/full_text/202523519349301407/IRS990ScheduleI
